voyage_id,file_name,start_time,end_time,duration_h,num_samples,mean_load_kw,max_load_kw,min_load_kw,negative_load_count,missing_value_count,timestamp_gap_count,timestamp_monotonic_increasing,load_identity_max_abs_error_kw,extreme_load_gt_1000kw_count,load_definition,load_scope
voyage_043,6月11日08_00_6月11日11_00.xlsx,2024-06-11T08:00:29,2024-06-11T10:59:29,2.9833333333333334,359,301.87820052367687,697.115133,1e-06,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_044,6月12日14_00_6月12日17_00.xlsx,2024-06-12T14:00:05,2024-06-12T16:59:35,2.9916666666666667,360,172.8462407416667,752.612167,-1e-06,3,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_045,6月13日08_00_6月13日14_00.xlsx,2024-06-13T08:00:08,2024-06-13T13:59:38,5.991666666666666,720,258.7197436236111,761.2522,0.0,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_046,6月14日08_00_6月15日18_00.xlsx,2024-06-14T08:00:14,2024-06-15T17:59:44,33.99166666666667,4080,14.129539074754904,653.711133,-109.4688,1949,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_047,6月17日09_00_6月17日16_00.xlsx,2024-06-17T09:00:26,2024-06-17T15:59:26,6.983333333333333,839,220.7332902467223,683.936533,-1.606156,2,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_048,6月20日08_00_6月20日16_00.xlsx,2024-06-20T08:00:07,2024-06-20T15:59:37,7.991666666666666,960,248.03021863125002,821.2573,0.0,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_049,6月26日08_00_6月26日13_00.xlsx,2024-06-26T08:00:28,2024-06-26T12:59:28,4.983333333333333,599,277.42538080133556,605.591933,0.0,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_050,6月28日08_00_6月28日15_00.xlsx,2024-06-28T08:00:02,2024-06-28T14:59:32,6.991666666666666,840,232.7096991904762,768.7192,3e-06,0,0,0,True,1.0000000543186616e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_051,6月30日05_00_6月30日11_00.xlsx,2024-06-30T05:00:09,2024-06-30T10:59:39,5.991666666666666,720,293.0563078916666,748.2712,-108.8373,58,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_052,7月2日14_00_7月2日18_00.xlsx,2024-07-02T14:00:18,2024-07-02T17:59:48,3.9916666666666667,480,199.36631474166668,560.722,0.0,0,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_053,7月3日08_00_7月3日16_00.xlsx,2024-07-03T08:00:22,2024-07-03T15:59:52,7.991666666666666,960,234.70875165208332,846.873733,3e-06,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_054,7月9日08_00_7月9日16_00.xlsx,2024-07-09T08:00:18,2024-07-09T15:53:18,7.883333333333334,947,302.67179439915526,838.8424,4e-06,0,0,0,True,1.1368683772161603e-13,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_055,7月10日08_00_7月10日18_00.xlsx,2024-07-10T08:00:23,2024-07-10T17:59:23,9.983333333333333,1199,236.78898436947458,734.8182,6e-06,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_056,7月11日06_00_7月12日10_00.xlsx,2024-07-11T06:00:03,2024-07-12T09:59:33,27.991666666666667,3360,102.94467541636905,905.0483,4e-06,0,0,0,True,1.0000000258969521e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_057,7月15日14_00_7月15日16_00.xlsx,2024-07-15T14:00:13,2024-07-15T15:59:13,1.9833333333333334,239,250.1803023640168,740.805833,2e-06,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_058,7月18日08_00_7月18日12_00.xlsx,2024-07-18T08:00:20,2024-07-18T11:59:50,3.9916666666666667,480,149.54177739583335,520.162667,0.0,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_059,7月19日07_00_7月19日09_00.xlsx,2024-07-19T07:00:22,2024-07-19T08:59:22,1.9833333333333334,239,125.50356554393306,514.733733,0.0,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_060,7月22日08_00_7月22日11_00.xlsx,2024-07-22T08:00:28,2024-07-22T10:57:58,2.9583333333333335,356,209.53242038483145,459.1996,0.0,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_061,7月23日12_00_7月23日15_00.xlsx,2024-07-23T12:00:01,2024-07-23T14:59:01,2.9833333333333334,359,174.70268542896935,350.9932,6e-06,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_062,7月24日14_00_7月24日17_00.xlsx,2024-07-24T14:00:03,2024-07-24T16:57:33,2.9583333333333335,356,181.75055479494384,491.5851,0.0,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_063,7月25日08_00_7月25日17_00.xlsx,2024-07-25T08:00:04,2024-07-25T16:59:34,8.991666666666667,1080,263.2316699564815,773.901333,0.0,0,0,0,True,1.0000001111620804e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_064,7月26日11_00_7月26日13_00.xlsx,2024-07-26T11:00:07,2024-07-26T12:59:07,1.9833333333333334,239,140.62105169874476,467.890333,-1e-06,16,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_065,7月29日14_00_7月29日17_00.xlsx,2024-07-29T14:00:13,2024-07-29T16:59:13,2.9833333333333334,359,167.20783442339834,656.1904,0.0,0,0,0,True,1.0000000258969521e-06,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
voyage_066,7月31日08_00_7月31日11_00.xlsx,2024-07-31T08:00:17,2024-07-31T10:59:17,2.9833333333333334,359,183.8512580947075,507.9851,1e-06,0,0,0,True,0.0,0,fuel_cell_total_kw + battery_total_kw,energy_side_equivalent_total_load
