voyage_id,split,action_id,action_name,q_h2,q_batt,q_soc,q_fc_var,sample_count,transition_count,completed,episode_steps,minimum_soc,final_soc,total_fixed_reward,mean_fixed_reward_per_step,hydrogen_kg,battery_net_energy_kwh,maximum_fc_step_change_kw,first_failure_decision_index,first_failure_execution_index,failure_soc,failure_previous_fc_kw,future_6_loads,solver_status
voyage_041,train,6,fc_smoothing,0.15,0.15,8.0,50.0,39211,39210,False,5459,,,,,,,,5459,5460,0.20052956224010532,489.5865400180715,"[736.0225867209931,735.9272452679531,735.764067825575,735.5377463961731,735.2529729820623,734.9144395855558]",maximum iterations reached
voyage_042,train,0,candidate_C,0.25,0.4,12.0,20.0,86372,86371,True,86371,0.48994863084766327,0.5416997584787097,-61380.712373000395,-0.710663444593676,18.46918770476146,5.179350709287147,0.28578782406701464,,,,,,
voyage_042,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,86372,86371,True,86371,0.32805813531673783,0.3923009024132138,-7460853.238490282,-86.38146181577476,13.558750378389483,98.40423689415665,0.4948624732157896,,,,,,
voyage_042,train,2,balanced,0.25,0.5,20.0,12.0,86372,86371,True,86371,0.5133773575868278,0.5385866361042195,-49800.77630610036,-0.5765914057507769,18.352397066985592,7.121939070972906,0.46865744508926355,,,,,,
voyage_042,train,3,soc_maintenance,0.2,0.45,28.0,18.0,86372,86371,True,86371,0.5195553435484163,0.5453826982845814,-17805.446407813753,-0.20615074976338996,18.606980412671284,2.8811962704249954,0.4967256382764731,,,,,,
voyage_042,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,86372,86371,True,86371,0.5154622737344177,0.5463017961682233,-13057.616920010521,-0.1511805689410858,18.72493433825223,2.307679191025094,0.6552885554268641,,,,,,
voyage_042,train,5,fast_fc_response,0.15,0.8,12.0,1.0,86372,86371,True,86371,0.5309317486254946,0.5395015377628831,-44939.79885213115,-0.520311202280061,18.3153855300606,6.551040435951257,3.798516492385204,,,,,,
voyage_042,train,6,fc_smoothing,0.15,0.15,8.0,50.0,86372,86371,True,86371,0.44338186505187166,0.6273112730107722,-1575189.722160723,-18.237483902707194,21.41493932471054,-48.24223435871713,0.15862304228207336,,,,,,
voyage_043,train,0,candidate_C,0.25,0.4,12.0,20.0,10770,10769,True,10769,0.3805646160841694,0.6242691957521976,-283544.7087290336,-26.32971573303311,52.069776806914405,-46.3439781493693,0.5957791211710912,,,,,,
voyage_043,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,10770,10769,True,10769,0.21954511321937054,0.3694850750859021,-2295951.6300557526,-213.20007707825727,43.33264332557365,112.64131314639886,1.234302609159414,,,,,,
voyage_043,train,2,balanced,0.25,0.5,20.0,12.0,10770,10769,True,10769,0.4059509725225233,0.5856072551351469,-161954.6178671767,-15.038965351209649,50.80982380543515,-22.218927204329567,0.9628332173284662,,,,,,
voyage_043,train,3,soc_maintenance,0.2,0.45,28.0,18.0,10770,10769,True,10769,0.40726814943243506,0.6111871253461734,-166626.37133010302,-15.472780325945122,51.689172208781066,-38.180766216011506,1.0144633861726788,,,,,,
voyage_043,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,10770,10769,True,10769,0.39737873683124414,0.5992732689869934,-189623.7697834122,-17.608298800576858,51.767038739967695,-30.74651984788317,1.7096352663668881,,,,,,
voyage_043,train,5,fast_fc_response,0.15,0.8,12.0,1.0,10770,10769,True,10769,0.4326331590722462,0.5310445250772154,-97811.26739228237,-9.082669457914605,48.90836858451045,11.828216351819178,5.936457308902163,,,,,,
voyage_043,train,6,fc_smoothing,0.15,0.15,8.0,50.0,10770,10769,True,10769,0.34870383288470086,0.7823548421063298,-627463.9103002715,-58.2657545083361,58.0825550233933,-144.9894214743504,0.37659419344674916,,,,,,
voyage_044,train,0,candidate_C,0.25,0.4,12.0,20.0,10771,10770,False,4479,,,,,,,,4479,4480,0.20113850479051562,560.0,"[1002.704184890374,1002.172894074758,1001.639070860272,1001.1039343921424,1000.568703815596,1000.034598275859]",primal infeasible
voyage_044,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,10771,10770,False,4294,,,,,,,,4294,4295,0.20101197476660515,560.0000018914233,"[1016.2347550919976,1016.4885050061596,1016.7532032464242,1017.0273831683188,1017.3095781273692,1017.5983214791028]",primal infeasible
voyage_044,train,2,balanced,0.25,0.5,20.0,12.0,10771,10770,False,4744,,,,,,,,4744,4745,0.20113319586754974,560.0,"[1005.9756534020476,1006.3397428340162,1006.7002917296552,1007.0558090933908,1007.4048039296496,1007.7457852428572]",primal infeasible
voyage_044,train,3,soc_maintenance,0.2,0.45,28.0,18.0,10771,10770,False,4739,,,,,,,,4739,4740,0.20107948596588882,560.0000000000002,"[1004.154182438826,1004.5137102223558,1004.877051843904,1005.2428169114178,1005.6095144293236,1005.9756534020476]",primal infeasible
voyage_044,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,10771,10770,False,4836,,,,,,,,4836,4837,0.20105325918380237,560.0000000000002,"[1007.4952981890916,1007.3062103860292,1007.0953038355036,1006.8653225298448,1006.6190104613838,1006.359111622452]",primal infeasible
voyage_044,train,5,fast_fc_response,0.15,0.8,12.0,1.0,10771,10770,False,5005,,,,,,,,5005,5006,0.20108929157726335,560.0,"[993.4703755527814,993.3208037919936,993.1717191511603,993.022359014099,992.8719607646269,992.7200377195139]",primal infeasible
voyage_044,train,6,fc_smoothing,0.15,0.15,8.0,50.0,10771,10770,False,3974,,,,,,,,3974,3975,0.20188245847489952,289.032317334958,"[1015.8187594057184,1015.1701750638108,1014.4953753660144,1013.7974289620754,1013.0794045017406,1012.3443706347562]",maximum iterations reached
voyage_045,train,0,candidate_C,0.25,0.4,12.0,20.0,21572,21571,False,2416,,,,,,,,2416,2417,0.20137105473984543,560.0,"[1096.473288971603,1096.9141463428566,1097.3517923379911,1097.7838991686829,1098.2081390466085,1098.622184183443]",primal infeasible
voyage_045,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,21572,21571,False,2128,,,,,,,,2128,2129,0.20128503887728474,559.9999999999999,"[1096.5559566960424,1096.8711,1097.181140588459,1097.485423150846,1097.783307397429,1098.0741530384762]",primal infeasible
voyage_045,train,2,balanced,0.25,0.5,20.0,12.0,21572,21571,False,2651,,,,,,,,2651,2652,0.20130642800191945,560.0,"[1093.2704473736055,1093.2307366399075,1093.1934007119912,1093.1582143454302,1093.1249522957987,1093.0933893186705]",primal infeasible
voyage_045,train,3,soc_maintenance,0.2,0.45,28.0,18.0,21572,21571,False,2624,,,,,,,,2624,2625,0.20124906362440462,560.0000000000002,"[1095.6444962780006,1095.5338348184025,1095.4212047885712,1095.3071255851892,1095.1921166049383,1095.076697244501]",primal infeasible
voyage_045,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,21572,21571,False,2692,,,,,,,,2692,2693,0.2013607947416345,560.0000000000002,"[1091.3811030330658,1091.280283357105,1091.1748824762028,1091.0647701047146,1090.9498159569953,1090.8298897473996]",primal infeasible
voyage_045,train,5,fast_fc_response,0.15,0.8,12.0,1.0,21572,21571,False,2894,,,,,,,,2894,2895,0.20143059343453737,560.0,"[1100.6152539100522,1100.5709625913453,1100.5376842925805,1100.515893846234,1100.506066084782,1100.5086758407]",primal infeasible
voyage_045,train,6,fc_smoothing,0.15,0.15,8.0,50.0,21572,21571,False,1905,,,,,,,,1905,1906,0.20156046605168687,355.69296344238796,"[1026.5248683267891,1026.4570614576446,1026.3928346680214,1026.3326287288123,1026.2768844109091,1026.2260424852043]",maximum iterations reached
voyage_046,train,0,candidate_C,0.25,0.4,12.0,20.0,122376,122375,True,122375,0.4783461236111844,0.5255832777548544,-401605.31341376575,-3.2817594558836833,73.69959581862534,15.236034680968368,0.6111656189858365,,,,,,
voyage_046,train,1,hydrogen_economy,0.6,0.15,4.0,2.0,122376,122375,True,122375,0.30682784138122915,0.39302275804817155,-17727320.71638822,-144.86063915332562,68.65787884600633,97.95379897794336,1.105618276565849,,,,,,
voyage_046,train,2,balanced,0.25,0.5,20.0,12.0,122376,122375,True,122375,0.5077856471790577,0.5357171563513959,-125690.9762423325,-1.027096843655424,73.74332631476064,8.912494436729778,0.8903139679333663,,,,,,
voyage_046,train,3,soc_maintenance,0.2,0.45,28.0,18.0,122376,122375,True,122375,0.510985923881715,0.542054726654217,-60204.89597493109,-0.4919705493354941,74.08869526987696,4.95785056776613,0.9061831993882663,,,,,,
voyage_046,train,4,strong_soc_recovery,0.3,0.45,50.0,18.0,122376,122375,True,122375,0.5111215940071672,0.5435791856711644,-36462.310388362224,-0.2979555496495381,74.07790322476254,4.006588141192508,1.1726253094249444,,,,,,
voyage_046,train,5,fast_fc_response,0.15,0.8,12.0,1.0,122376,122375,True,122375,0.5253050372502389,0.536887132576345,-111227.39843564905,-0.908906218064548,73.52045613695647,8.182429272362734,4.53950424368594,,,,,,
voyage_046,train,6,fc_smoothing,0.15,0.15,8.0,50.0,122376,122375,True,122375,0.3555822072614156,0.5315323163012605,-1571166.6665277632,-12.83895130972636,74.49116212182292,11.523834628014447,0.34297901244090667,,,,,,
voyage_047,validation,0,candidate_C,0.25,0.4,12.0,20.0,25171,25170,True,25170,0.44615506387440257,0.5862384657898853,-236302.90385778958,-9.388275878338879,86.04096529618037,-22.61280265289158,0.4641346260129069,,,,,,
voyage_047,validation,1,hydrogen_economy,0.6,0.15,4.0,2.0,25171,25170,True,25170,0.3040309824950096,0.3703368380538325,-4675016.014251356,-185.73762472194502,77.45908936708163,112.10981305440569,1.2438854412241085,,,,,,
voyage_047,validation,2,balanced,0.25,0.5,20.0,12.0,25171,25170,True,25170,0.49382699359191146,0.5587401328103334,-53279.87804404937,-2.116800875806491,84.5025076634688,-5.453842873646894,0.7418531611822914,,,,,,
voyage_047,validation,3,soc_maintenance,0.2,0.45,28.0,18.0,25171,25170,True,25170,0.4929951670850564,0.5753978397999082,-56162.34674682292,-2.2313208878356345,85.29177534218707,-15.848252035136797,0.672716091450468,,,,,,
voyage_047,validation,4,strong_soc_recovery,0.3,0.45,50.0,18.0,25171,25170,True,25170,0.5074954660482608,0.5590049378934734,-25914.086178831963,-1.029562422679061,84.64713349952892,-5.61908124551936,0.8747237789230553,,,,,,
voyage_047,validation,5,fast_fc_response,0.15,0.8,12.0,1.0,25171,25170,True,25170,0.5198155895657979,0.5362495936113127,-36613.24910778072,-1.4546384230345937,83.28669089723252,8.58025358654295,11.052888417240581,,,,,,
voyage_047,validation,6,fc_smoothing,0.15,0.15,8.0,50.0,25171,25170,True,25170,0.32924120462248935,0.7715247965989067,-2160816.2620165558,-85.84887810951751,93.59755119865471,-138.23147307772132,0.3414919490520276,,,,,,
voyage_048,validation,0,candidate_C,0.25,0.4,12.0,20.0,28772,28771,False,11649,,,,,,,,11649,11650,0.20051229764820155,560.0,"[761.956254943045,761.8181095139256,761.6869644522179,761.5638228456606,761.4496877819913,761.345562348947]",primal infeasible
voyage_048,validation,1,hydrogen_economy,0.6,0.15,4.0,2.0,28772,28771,False,9859,,,,,,,,9859,9860,0.2002628670072741,559.9999999999999,"[677.5813473723742,676.0036849640152,674.4502262321877,672.9303257861793,671.4533382352781,670.0286181887714]",primal infeasible
voyage_048,validation,2,balanced,0.25,0.5,20.0,12.0,28772,28771,True,28771,0.24365978457888515,0.5619338013724308,-886389.1045864667,-30.808421834015736,110.81234361229963,-7.446692056402299,0.7491872514773945,,,,,,
voyage_048,validation,3,soc_maintenance,0.2,0.45,28.0,18.0,28772,28771,True,28771,0.25123033763249575,0.5790744709681083,-831596.2768892185,-28.903975422794428,111.60412370265101,-18.14246988410029,0.8370230508966472,,,,,,
voyage_048,validation,4,strong_soc_recovery,0.3,0.45,50.0,18.0,28772,28771,True,28771,0.2560281582244432,0.559329387510214,-759402.6773338376,-26.394726541789915,110.86641771228707,-5.821537806376955,1.184467251064092,,,,,,
voyage_048,validation,5,fast_fc_response,0.15,0.8,12.0,1.0,28772,28771,True,28771,0.2438689948726911,0.5368845723127269,-870829.3800538582,-30.267609052652258,109.39091548896381,8.184026876866058,9.68923099415997,,,,,,
voyage_048,validation,6,fc_smoothing,0.15,0.15,8.0,50.0,28772,28771,False,8279,,,,,,,,8279,8280,0.20025720793103197,560.0000000000002,"[658.703408880353,659.4150670543034,660.2261952757221,661.1304535903432,662.1194800726432,663.1849127970985]",primal infeasible
voyage_049,validation,0,candidate_C,0.25,0.4,12.0,20.0,17971,17970,True,17970,0.4385406520466181,0.619086215087686,-271078.66001678794,-15.08506733538052,78.91238176674271,-43.109798214713656,0.5533559256295746,,,,,,
voyage_049,validation,1,hydrogen_economy,0.6,0.15,4.0,2.0,17971,17970,True,17970,0.3005463945871425,0.37266701708478533,-3668414.090542979,-204.14101783767273,69.88169988128111,110.65578133909165,1.2178473149546676,,,,,,
voyage_049,validation,2,balanced,0.25,0.5,20.0,12.0,17971,17970,True,17970,0.4834186847116017,0.5840749271999739,-87060.24746483601,-4.844755006390429,77.83622726572644,-21.262754572785735,0.941632763303005,,,,,,
voyage_049,validation,3,soc_maintenance,0.2,0.45,28.0,18.0,17971,17970,True,17970,0.4752467065583271,0.6065689901662227,-117326.05646096024,-6.5289959076772535,78.84779922395239,-35.29904986372558,0.9846424226427359,,,,,,
voyage_049,validation,4,strong_soc_recovery,0.3,0.45,50.0,18.0,17971,17970,True,17970,0.4849053912911588,0.587813631636715,-77079.55715185088,-4.289346530431323,78.45791255622797,-23.59570614130897,1.3842467183964118,,,,,,
voyage_049,validation,5,fast_fc_response,0.15,0.8,12.0,1.0,17971,17970,True,17970,0.5278163824352755,0.5364110919068821,-27967.751810768397,-1.556357919352721,75.95835448920572,8.479478650105566,8.767821354774128,,,,,,
voyage_049,validation,6,fc_smoothing,0.15,0.15,8.0,50.0,17971,17970,False,17364,,,,,,,,17364,17365,0.7998086711715516,92.62589997464681,"[0.0,0.0,0.0,0.0,0.0,0.0]",maximum iterations reached
voyage_050,validation,0,candidate_C,0.25,0.4,12.0,20.0,25171,25170,True,25170,0.3255388104167469,0.5679847285606929,-947665.1771590633,-37.65058312113879,94.22427460725079,-11.222470621875159,0.5324301168553802,,,,,,
