candidate,family,q_h2,q_batt,q_soc,q_fcvar,regime,segment_id,start,completed,failure_step,steps,reward_per_step,min_soc,final_soc,h2_kg_h,battery_net_discharge_kwh,battery_throughput_kwh,fc_tv_kw,fc_tv_kw_h,mean_fc_kw,fc_ge_590_fraction,first_p_fc_kw,first_p_batt_kw
R0,baseline_soc,0.25,0.45,80,8,high_mean,train_parent_021_01,2790,True,,600,-7.591176543345329,0.41622205146040997,0.41622205146040997,34.095032870567664,83.47743988870378,83.47743988870378,2.550182216509711e-07,1.5301093299058266e-06,600.0000000011773,1.0,599.9999999999998,495.21723753000015
R1,soc,0.2,0.55,80,12,high_mean,train_parent_021_01,2790,True,,600,-7.591176543358883,0.4162220514602,0.4162220514602,34.095032870567664,83.47743988883506,83.47743988883506,1.2279315342311747e-09,7.3675892053870484e-09,600.0000000003895,1.0,600.0000000000001,495.2172375299998
R2,soc,0.15,0.65,80,12,high_mean,train_parent_021_01,2790,True,,600,-7.591176543358893,0.41622205146019997,0.41622205146019997,34.095032870567664,83.47743988883508,83.47743988883508,1.2369127944111824e-09,7.4214767664670944e-09,600.0000000003894,1.0,600.0,495.2172375299999
R3,soc,0.2,0.65,120,12,high_mean,train_parent_021_01,2790,True,,600,-7.591176543234248,0.4162220514610651,0.4162220514610651,34.095032870567664,83.47743988829552,83.47743988829552,1.5688897292420734e-08,9.41333837545244e-08,600.000000003627,1.0,600.0000000000001,495.2172375299998
R4,soc,0.15,0.8,120,8,high_mean,train_parent_021_01,2790,True,,600,-7.591176543179412,0.41622205146138014,0.41622205146138014,34.095032870567664,83.47743988809859,83.47743988809859,1.8367018128628843e-08,1.1020210877177306e-07,600.0000000048084,1.0,600.0000000000002,495.2172375299997
R5,soc,0.25,0.6,120,16,high_mean,train_parent_021_01,2790,True,,600,-7.591176543263752,0.4162220514608969,0.4162220514608969,34.095032870567664,83.4774398884003,83.4774398884003,2.9148395697120577e-08,1.7489037418272346e-07,600.0000000029983,1.0,599.9999999999999,495.21723753000003
F0,baseline_fast,0.15,0.8,12,8,high_mean,train_parent_021_01,2790,True,,600,-7.591176543372497,0.4162220514600963,0.4162220514600963,34.095032870567664,83.47743988889991,83.47743988889991,1.693933882052079e-11,1.0163603292312473e-10,600.0000000000006,1.0,600.0000000000002,495.2172375299997
B0,baseline_nominal,0.25,0.4,12,20,sustained_high,train_parent_021_01,2820,True,,600,-7.5933231036011115,0.4162312427529555,0.4162312427529555,34.095032870567664,83.47170452215553,83.47170452215553,1.6257217794191092e-11,9.754330676514655e-11,600.0000000000001,1.0,599.9999999999999,502.3478572
B1,balanced,0.25,0.45,30,20,sustained_high,train_parent_021_01,2820,True,,600,-7.593323103600933,0.4162312427529569,0.4162312427529569,34.095032870567664,83.4717045221546,83.4717045221546,1.8417267710901797e-11,1.1050360626541078e-10,600.0000000000057,1.0,600.0000000000002,502.3478571999997
B2,balanced,0.25,0.5,50,20,sustained_high,train_parent_021_01,2820,True,,600,-7.593323103599912,0.4162312427529646,0.4162312427529646,34.095032870567664,83.4717045221497,83.4717045221497,1.1129941412946209e-10,6.677964847767726e-10,600.0000000000352,1.0,599.9999999999999,502.3478572
B3,balanced,0.3,0.45,30,16,sustained_high,train_parent_021_01,2820,True,,600,-7.5933231036008255,0.41623124275295775,0.41623124275295775,34.095032870567664,83.47170452215411,83.47170452215411,2.773958840407431e-11,1.6643753042444587e-10,600.0000000000085,1.0,600.0000000000002,502.3478571999997
B4,balanced,0.2,0.5,40,16,sustained_high,train_parent_021_01,2820,True,,600,-7.593323103600357,0.4162312427529613,0.4162312427529613,34.095032870567664,83.47170452215174,83.47170452215174,7.219114195322618e-11,4.3314685171935707e-10,600.000000000023,1.0,600.0000000000001,502.3478571999998
B5,balanced,0.3,0.55,50,24,sustained_high,train_parent_021_01,2820,True,,600,-7.593323103600307,0.41623124275296164,0.41623124275296164,34.095032870567664,83.47170452215155,83.47170452215155,8.424194675171748e-11,5.054516805103049e-10,600.000000000024,1.0,600.0000000000002,502.3478571999997
E0,baseline_economy,0.4,0.25,8,8,sustained_high,train_parent_021_01,2820,True,,600,-8.154053867512355,0.4140300333776146,0.4140300333776146,33.560068393933186,84.84525917236871,84.84525917236871,41.171759815164364,247.03055889098619,591.7586720987211,0.5783333333333334,599.8975397879527,502.4503174120472
