action_id,action_name,battery_charge_energy_kwh,battery_discharge_energy_kwh,battery_throughput_kwh,completed,episode_reward,expected_steps,fc_max_step_kw,fc_variation_rms_kw,final_soc,first_failure_decision_index,first_failure_solve_ms,mean_reward_per_step,mean_solve_ms,minimum_soc,p99_solve_ms,q_batt,q_fc_var,q_h2,q_soc,solved_inaccurate_steps,solver_status,solver_status_class,split,successful_steps,total_h2_kg,voyage_id,weighted_batt,weighted_fc_var,weighted_h2,weighted_soc
3,fast_fc_response,18.779454259949304,27.44220945191354,46.22166371186286,True,-14079.899213301705,10769,7.014675966085633,0.9791812502937294,0.5361173795000582,,,-1.3074472293900739,0.049109600583133406,0.5288227973822498,0.08976402692496771,0.8,1.0,0.15,12.0,0,solved,solved,train,10769,35.160017385997314,voyage_010,13.79445538107587,89.62910826788709,994.4059185413555,12982.069731111382
4,fc_smoothing,403.8175164147728,303.93214029998745,707.7496567147602,True,-599500.5291479595,10769,0.48325616245825387,0.2529569386057299,0.7100727181326723,,,-55.669099187293114,0.05516007917335836,0.35043729820958863,0.11115995235741125,0.1,40.0,0.25,12.0,0,solved,solved,train,10769,41.695238677254466,voyage_010,893.7755903765382,5.981582417729213,1179.2369628397637,597421.5350123227
0,candidate_C,4.0653263581078606e-27,217.86543257649578,217.86543257649578,False,-414053.6376164386,28770,1.0257837454018954,0.2884080002466982,0.20085667856330805,5651,0.04710000939667225,-73.27086137257805,0.048921145716297416,0.20085667856330805,0.0881499145179987,0.4,20.0,0.25,12.0,0,primal infeasible,primal_infeasible,train,5651,11.803114110808158,voyage_011,352.51495027421765,4.080256212675331,333.81913325450574,413363.2232766972
1,hydrogen_economy,1.1181621716539401e-24,217.79008300019234,217.79008300019234,False,-416539.348272023,28770,1.1769044001454176,0.3159798588182107,0.20097743108943603,5669,0.04859990440309048,-73.47668870559588,0.052325807807188034,0.20097743108943603,0.10816400870680803,0.25,8.0,0.4,8.0,0,primal infeasible,primal_infeasible,train,5669,12.098595162824473,voyage_011,349.6804302467214,4.91329430826809,342.17601498514097,415842.57853248273
2,soc_regulation,2.4028186759131183e-24,217.77370326702828,217.77370326702828,False,-420330.8431363898,28770,1.931296394812307,0.3687467036506646,0.20100368066181468,5949,0.060999998822808266,-70.65571409251804,0.05432571962182713,0.20100368066181468,0.09022398851811829,0.45,15.0,0.25,36.0,0,primal infeasible,primal_infeasible,train,5949,16.294363555631154,voyage_011,289.61091149209955,7.0217891320770125,460.84196662080456,419573.3684691445
3,fast_fc_response,218.33694495526356,226.74721283174225,445.0841577870058,True,-2481246.428091112,28770,7.935082380914594,0.5982098800808062,0.5365220066082103,,,-86.24422760135947,0.0494696317725518,0.21619477330365214,0.1002311008051039,0.8,1.0,0.15,12.0,0,solved,solved,train,28770,108.3109072292027,voyage_011,480.01270260794297,89.37057373453499,3063.2808285869664,2477613.763986215
4,fc_smoothing,6.322672478093027e-26,217.8587259922491,217.8587259922491,False,-284271.38093508256,28770,0.8309128420445404,0.25832397407806856,0.20086742629447318,5101,0.0633997842669487,-55.72855928937121,0.05512822867082488,0.20086742629447318,0.10549998842179775,0.1,40.0,0.25,12.0,0,primal infeasible,primal_infeasible,train,5101,3.7374007763527644,voyage_011,500.88048215891257,2.954828444022269,105.70226434092592,283661.8433601386
0,candidate_C,231.9106061076844,231.48587267933326,463.3964787870176,True,-165019.98825318614,32370,0.4024359809289706,0.11453231322000439,0.5506806625454308,,,-5.097929819375537,0.04926881329828265,0.4696511807066564,0.09133091662079108,0.4,20.0,0.25,12.0,0,solved,solved,train,32370,49.680634696990786,voyage_012,243.4713013306559,3.685923224603047,1405.0822739141513,163367.74875473537
1,hydrogen_economy,198.4091306999728,227.32182048030268,425.73095118027544,True,-497994.0595667013,32370,0.4347805716733717,0.13796329315784217,0.5036655612494697,,,-15.38443186798583,0.049916951038728244,0.4457059616657183,0.08649991592392325,0.25,8.0,0.4,8.0,0,solved,solved,train,32370,47.97273263242733,voyage_012,230.21464070794016,5.348319273284626,1356.7788870686527,496401.7177195585
2,soc_regulation,254.29686341141473,257.80282875694866,512.0996921683633,True,-58504.00675180842,32370,1.0629826930960746,0.2893406477050537,0.5443814657924115,,,-1.8073526954528396,0.05501398442967331,0.5040287441708611,0.09693095926195396,0.45,15.0,0.25,36.0,0,solved,solved,train,32370,49.99469338199861,voyage_012,354.11893204229256,23.523888863832443,1413.9645737069359,56712.39935721486
3,fast_fc_response,28.67689440891712,37.64228492368915,66.31917933260628,True,-35752.07341605991,32370,4.861522507001382,0.49624057349335315,0.5356323869955519,,,-1.104481724314486,0.04934430033041024,0.5304249876666817,0.09003102313727153,0.8,1.0,0.15,12.0,0,solved,solved,train,32370,49.101468072792585,voyage_012,10.812502634293368,69.19500745226871,1388.70211367131,34283.36379230202
4,fc_smoothing,447.0603408740577,375.9739998012388,823.0343406752966,True,-1767402.8313999854,32370,0.42523073410834655,0.14017015644692585,0.6639204183859275,,,-54.60002568427511,0.05982690790002365,0.420905521096495,0.10086206952109959,0.1,40.0,0.25,12.0,0,solved,solved,train,32370,54.521577958834754,voyage_012,734.1201065771648,5.520791381840055,1541.99525032292,1765121.19525167
0,candidate_C,171.6268696442092,389.8230299512135,561.4498995954227,False,-1558611.878774307,39570,0.7248157186195385,0.15337860959604108,0.2003266661746794,31061,0.061900122091174126,-50.17906309437259,0.04956122465115782,0.2003266661746794,0.09720004163682461,0.4,20.0,0.25,12.0,0,primal infeasible,primal_infeasible,train,31061,89.74916432614619,voyage_013,367.3976042060553,6.34296839584059,2538.3121746012985,1555699.8260271503
1,hydrogen_economy,137.72769885614463,355.94499996303966,493.6726988191843,False,-1703544.8881286136,39570,0.867888692838676,0.17869204603418776,0.20029278668766767,30797,0.05139992572367191,-55.31528681782685,0.04982363238833206,0.20029278668766767,0.09760004468262196,0.25,8.0,0.4,8.0,0,primal infeasible,primal_infeasible,train,30797,86.94924313354157,voyage_013,307.6204625453745,8.536235284611871,2459.1239826615756,1700769.6074480598
2,soc_regulation,470.2224039037213,443.3315649027819,913.5539688065032,True,-2259909.5512624127,39570,1.399505666998948,0.2476709988918733,0.5930942932707329,,,-57.11168944307335,0.05746994433877013,0.21987464441251112,0.11616206960752559,0.45,15.0,0.25,36.0,0,solved,solved,train,39570,158.61096188242826,voyage_013,710.8503236463257,21.069968320280687,4485.881719281045,2254691.749251119
