parent,start_time,end_time,duration_s,point_count,exclusion_reason
4月18日12_00_4月18日18_00,2024-04-18 15:02:13,2024-04-18 15:09:13,450,15,ambiguous_external_supply
4月18日12_00_4月18日18_00,2024-04-18 17:10:13,2024-04-18 17:58:43,2940,98,confirmed_shore
4月18日12_00_4月18日18_00,2024-04-18 17:59:13,2024-04-18 17:59:43,60,2,stationary_only_without_sailing_task
4月21日08_00_4月21日16_00,2024-04-21 08:00:18,2024-04-21 08:18:48,1140,38,stationary_only_without_sailing_task
4月21日08_00_4月21日16_00,2024-04-21 08:24:48,2024-04-21 10:19:18,6900,230,quality_cut_without_natural_transition
4月21日08_00_4月21日16_00,2024-04-21 10:19:48,2024-04-21 10:33:18,840,28,ambiguous_external_supply
4月21日08_00_4月21日16_00,2024-04-21 10:33:48,2024-04-21 10:39:18,360,12,insufficient_continuous_operation_duration
4月21日08_00_4月21日16_00,2024-04-21 10:39:48,2024-04-21 10:43:48,270,9,ambiguous_external_supply
4月21日08_00_4月21日16_00,2024-04-21 10:44:18,2024-04-21 13:06:48,8580,286,long_stop_dwell_core
4月21日08_00_4月21日16_00,2024-04-21 15:14:48,2024-04-21 15:59:48,2730,91,long_stop_dwell_core
4月22日14_00_4月22日17_00,2024-04-22 14:00:20,2024-04-22 14:01:20,90,3,stationary_only_without_sailing_task
4月22日14_00_4月22日17_00,2024-04-22 14:07:50,2024-04-22 14:21:50,870,29,long_stop_dwell_core
4月22日14_00_4月22日17_00,2024-04-22 16:49:50,2024-04-22 16:54:20,300,10,long_stop_dwell_core
4月22日14_00_4月22日17_00,2024-04-22 16:54:50,2024-04-22 16:59:50,330,11,confirmed_shore
4月23日13_00_4月23日18_00,2024-04-23 13:05:22,2024-04-23 15:47:22,9750,325,quality_cut_without_natural_transition
4月23日13_00_4月23日18_00,2024-04-23 15:47:52,2024-04-23 16:00:22,780,26,ambiguous_external_supply
4月23日13_00_4月23日18_00,2024-04-23 16:00:52,2024-04-23 17:59:52,7170,239,quality_cut_without_natural_transition
4月24日07_00_4月24日17_00,2024-04-24 07:00:23,2024-04-24 07:23:53,1440,48,stationary_only_without_sailing_task
4月24日07_00_4月24日17_00,2024-04-24 07:30:23,2024-04-24 07:34:53,300,10,long_stop_dwell_core
4月24日07_00_4月24日17_00,2024-04-24 07:35:23,2024-04-24 12:03:24,16111,537,quality_cut_without_natural_transition
4月24日07_00_4月24日17_00,2024-04-24 12:03:54,2024-04-24 12:35:24,1920,64,ambiguous_external_supply
4月24日07_00_4月24日17_00,2024-04-24 12:35:54,2024-04-24 13:02:24,1620,54,quality_cut_without_natural_transition
4月24日07_00_4月24日17_00,2024-04-24 13:02:54,2024-04-24 13:04:54,150,5,ambiguous_external_supply
4月24日07_00_4月24日17_00,2024-04-24 13:05:25,2024-04-24 14:17:24,4349,145,long_stop_dwell_core
4月24日07_00_4月24日17_00,2024-04-24 14:17:54,2024-04-24 16:20:24,7380,246,quality_cut_without_natural_transition
4月24日07_00_4月24日17_00,2024-04-24 16:20:54,2024-04-24 16:22:24,120,4,ambiguous_external_supply
4月24日07_00_4月24日17_00,2024-04-24 16:22:54,2024-04-24 16:59:54,2250,75,stationary_only_without_sailing_task
4月25日08_00_4月25日18_00,2024-04-25 08:00:26,2024-04-25 08:44:56,2700,90,stationary_only_without_sailing_task
4月25日08_00_4月25日18_00,2024-04-25 08:51:26,2024-04-25 09:07:26,990,33,long_stop_dwell_core
4月25日08_00_4月25日18_00,2024-04-25 09:07:56,2024-04-25 10:03:56,3390,113,quality_cut_without_natural_transition
4月25日08_00_4月25日18_00,2024-04-25 10:04:28,2024-04-25 10:30:26,1588,53,ambiguous_external_supply
4月25日08_00_4月25日18_00,2024-04-25 10:30:56,2024-04-25 11:59:26,5340,178,quality_cut_without_natural_transition
4月25日08_00_4月25日18_00,2024-04-25 11:59:56,2024-04-25 13:05:26,3960,132,ambiguous_external_supply
4月25日08_00_4月25日18_00,2024-04-25 13:05:56,2024-04-25 13:06:26,60,2,stationary_only_without_sailing_task
4月25日08_00_4月25日18_00,2024-04-25 13:06:56,2024-04-25 13:07:26,60,2,ambiguous_external_supply
4月25日08_00_4月25日18_00,2024-04-25 13:07:56,2024-04-25 14:45:26,5880,196,quality_cut_without_natural_transition
4月25日08_00_4月25日18_00,2024-04-25 14:45:56,2024-04-25 14:47:26,120,4,ambiguous_external_supply
4月25日08_00_4月25日18_00,2024-04-25 14:58:56,2024-04-25 14:59:56,90,3,long_stop_dwell_core
4月25日08_00_4月25日18_00,2024-04-25 15:06:26,2024-04-25 15:31:56,1560,52,confirmed_shore
4月25日08_00_4月25日18_00,2024-04-25 15:32:26,2024-04-25 15:32:26,30,1,stationary_only_without_sailing_task
4月25日08_00_4月25日18_00,2024-04-25 15:38:56,2024-04-25 16:38:57,3631,121,quality_cut_without_natural_transition
4月25日08_00_4月25日18_00,2024-04-25 16:39:27,2024-04-25 16:40:27,90,3,ambiguous_external_supply
4月25日08_00_4月25日18_00,2024-04-25 16:40:57,2024-04-25 17:20:27,2400,80,stationary_only_without_sailing_task
4月25日08_00_4月25日18_00,2024-04-25 17:26:57,2024-04-25 17:59:57,2010,67,confirmed_shore
4月28日08_00_4月28日12_00,2024-04-28 08:00:04,2024-04-28 08:50:04,3030,101,stationary_only_without_sailing_task
4月28日08_00_4月28日12_00,2024-04-28 08:56:34,2024-04-28 11:35:05,9541,318,quality_cut_without_natural_transition
4月28日08_00_4月28日12_00,2024-04-28 11:35:35,2024-04-28 11:36:05,60,2,long_stop_dwell_core
4月28日08_00_4月28日12_00,2024-04-28 11:42:35,2024-04-28 11:59:35,1050,35,confirmed_shore
4月29日08_00_4月29日18_00,2024-04-29 08:00:07,2024-04-29 08:18:37,1140,38,stationary_only_without_sailing_task
4月29日08_00_4月29日18_00,2024-04-29 08:25:07,2024-04-29 08:26:37,120,4,long_stop_dwell_core
4月29日08_00_4月29日18_00,2024-04-29 10:44:37,2024-04-29 13:53:38,11371,379,long_stop_dwell_core
4月29日08_00_4月29日18_00,2024-04-29 13:54:38,2024-04-29 13:58:38,270,9,stationary_only_without_sailing_task
4月29日08_00_4月29日18_00,2024-04-29 13:59:08,2024-04-29 14:00:38,120,4,ambiguous_external_supply
4月29日08_00_4月29日18_00,2024-04-29 14:01:08,2024-04-29 14:11:08,630,21,quality_cut_without_natural_transition
4月29日08_00_4月29日18_00,2024-04-29 14:11:38,2024-04-29 15:29:08,4680,156,ambiguous_external_supply
4月29日08_00_4月29日18_00,2024-04-29 15:29:38,2024-04-29 17:29:08,7200,240,quality_cut_without_natural_transition
4月29日08_00_4月29日18_00,2024-04-29 17:29:38,2024-04-29 17:33:08,240,8,confirmed_shore
4月29日08_00_4月29日18_00,2024-04-29 17:33:38,2024-04-29 17:35:38,150,5,stationary_only_without_sailing_task
4月29日08_00_4月29日18_00,2024-04-29 17:36:08,2024-04-29 17:56:38,1260,42,confirmed_shore
4月29日08_00_4月29日18_00,2024-04-29 17:57:08,2024-04-29 17:58:08,90,3,stationary_only_without_sailing_task
4月30日08_00_4月30日15_00,2024-04-30 08:00:10,2024-04-30 08:19:40,1200,40,stationary_only_without_sailing_task
4月30日08_00_4月30日15_00,2024-04-30 08:27:40,2024-04-30 08:43:10,960,32,long_stop_dwell_core
4月30日08_00_4月30日15_00,2024-04-30 08:43:40,2024-04-30 10:51:10,7680,256,quality_cut_without_natural_transition
4月30日08_00_4月30日15_00,2024-04-30 10:51:40,2024-04-30 10:54:10,180,6,ambiguous_external_supply
4月30日08_00_4月30日15_00,2024-04-30 10:54:40,2024-04-30 12:13:10,4740,158,stationary_only_without_sailing_task
