parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
5月7日08_00_5月7日18_00,2024-05-07 11:57:01,2024-05-07 12:15:31,1140,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 12:27:01,2024-05-07 12:27:01,30,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 12:37:31,2024-05-07 12:37:31,30,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 12:41:01,2024-05-07 14:00:01,4770,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 14:04:01,2024-05-07 14:15:01,690,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 16:14:01,2024-05-07 16:54:01,2430,True,True,True
5月7日08_00_5月7日18_00,2024-05-07 16:59:01,2024-05-07 17:04:01,330,True,False,False
5月7日08_00_5月7日18_00,2024-05-07 17:10:31,2024-05-07 17:59:31,2970,False,False,False
5月8日08_00_5月8日17_00,2024-05-08 08:00:04,2024-05-08 08:39:34,2400,False,False,False
5月8日08_00_5月8日17_00,2024-05-08 08:46:34,2024-05-08 08:56:34,630,False,True,False
5月8日08_00_5月8日17_00,2024-05-08 11:20:05,2024-05-08 11:55:05,2130,True,True,True
5月8日08_00_5月8日17_00,2024-05-08 12:07:35,2024-05-08 14:15:05,7680,True,True,True
5月8日08_00_5月8日17_00,2024-05-08 16:03:05,2024-05-08 16:11:35,540,True,False,False
5月8日08_00_5月8日17_00,2024-05-08 16:20:35,2024-05-08 16:59:36,2371,False,False,False
5月9日08_00_5月9日17_00,2024-05-09 08:00:07,2024-05-09 08:13:38,841,False,False,False
5月9日08_00_5月9日17_00,2024-05-09 08:20:37,2024-05-09 08:24:38,271,False,True,False
5月9日08_00_5月9日17_00,2024-05-09 08:44:07,2024-05-09 08:46:07,150,True,True,True
5月9日08_00_5月9日17_00,2024-05-09 08:47:07,2024-05-09 08:47:07,30,True,True,True
5月9日08_00_5月9日17_00,2024-05-09 09:26:08,2024-05-09 09:29:38,240,True,True,True
5月9日08_00_5月9日17_00,2024-05-09 09:56:08,2024-05-09 10:04:38,540,True,True,True
5月9日08_00_5月9日17_00,2024-05-09 11:04:08,2024-05-09 14:43:38,13200,True,False,False
5月9日08_00_5月9日17_00,2024-05-09 16:06:08,2024-05-09 16:59:38,3240,True,False,False
5月10日08_00_5月10日10_00,2024-05-10 08:00:11,2024-05-10 08:24:11,1470,False,False,False
5月10日08_00_5月10日10_00,2024-05-10 08:30:41,2024-05-10 08:31:41,90,False,True,False
5月10日08_00_5月10日10_00,2024-05-10 09:17:11,2024-05-10 09:59:42,2581,True,False,False
5月11日08_00_5月11日11_00,2024-05-11 08:00:16,2024-05-11 08:22:46,1380,False,False,False
5月11日08_00_5月11日11_00,2024-05-11 08:29:46,2024-05-11 08:46:46,1050,False,True,False
5月11日08_00_5月11日11_00,2024-05-11 10:21:16,2024-05-11 10:59:46,2340,True,False,False
5月13日08_00_5月13日11_00,2024-05-13 08:00:20,2024-05-13 08:51:50,3120,False,False,False
